fit,families,feature_count,accuracy,f1_score,correct_count
1,raw_only,12,0.696,0.6942115853901583,348
2,sulfur,14,0.69,0.688380124716001,345
3,acidity,15,0.668,0.6657815435003972,334
4,sulphate_chloride,13,0.66,0.6582130164830455,330
5,sugar_alcohol,13,0.678,0.6763691226892369,339
6,density_alcohol,14,0.694,0.6930738037625971,347
7,sulfur_alcohol,13,0.678,0.6766196061182704,339
8,wine_type,14,0.688,0.6871974412190542,344
9,density_alcohol+sulfur,16,0.69,0.6891175599002566,345
10,density_alcohol+wine_type,16,0.678,0.6774264083904877,339
11,density_alcohol+sulfur_alcohol,15,0.7,0.6988602224515537,350
